Caltrans Roundabout Status Report,,,,,,,,,,Revised: 1-23-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For questions, please contact Ashlyn Swan, Ranjeet Bagha, and Gina Lopez.",,,,,,,,,ashlyn.f.swan@dot.ca.gov,,,ranjeet.bagha@dot.ca.gov,,gina.lopez@dot.ca.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1,,Note 2,,,,,,,Note 3,,,,,,Note 4,,,,Note 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status or Year Opened,Project,Lead,District,County,Route 1,PM 1,Route 2,PM 2,# of,Local Road,Local Road,Local Road,Location Description,Nearest,  Latitude,  Longitude,Google,Approx.,  Single Lane ,  1 & 2 Lane ,  2 or 2+ Lane ,  Material,Trucks can take both lanes entering?,Trucks can take both lanes circulating?,Oversize/Overweight (OSOW) Vehicle Analyzed?,Additional Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA,Agency,,,,,,,Legs,1,2,3,,City / Town,,,Maps Link,Elevation,,,,,(Y/N),(Y/N),(Y/N),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,01-0L990,Caltrans,1,DN,199,T0.8,,,4,Elk Valley Cross Road,Elk Valley Cross Road,,Route 199 at Elk Valley Cross Road,Crescent City,41.807824,-124.147525,"41.807824, -124.147525",,x,,,JPCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,Local,1,HUM,101,88.8, ,,4,Giuntoli Lane,Janes Road,,SB Route 101 Ramps at Giuntoli Lane and Janes Road,Arcata,40.904,-124.0892,"40.904, -124.0892",,x,,,HMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,Local,1,HUM,101,88.8, ,,4,Giuntoli Lane,Giuntoli Lane,,NB Route 101 Ramps at Giuntoli Lane,Arcata,40.90492,-124.0851,"40.90492, -124.0851",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,01-0L650,Local  ,1,HUM,101,86.9,,,,Sunset Ave,LK Wood Blvd,,In Arcata (Cal Poly Humboldt),Arcata,40.87869,-124.0815,"40.8788644, -124.081436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,Caltrans,1,LAK,20,8.3,29,52.5,3,N/A,N/A,,Route 20 at Route 29,Upper Lake,39.163327,-122.920946,"39.163327, -122.920946",,x,,,JPCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,Caltrans,1,LAK,20,12.1, ,,4,Pyle Road,Nice-Lucerne Cutoff,,Route 20 at Pyle Road and Nice-Lucerne Cutoff,Nice,39.13028,-122.87111,"39.13028, -122.87111",,x,,,JPCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Caltrans,1,LAK,20,31.6,53,7.4,3,N/A,N/A,,Route 20 at Route 53,Clearlake Oaks,39.00853,-122.61424,"39.00853, -122.61424",,x,,,JPCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,01-0C750,Caltrans,1,LAK,29,9.9, ,,3,Hartman Road,N/A,,Route 29 at Hartman Road,Middletown,38.792735,-122.565557,"38.792735, -122.565557",,x,,,JPCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,Caltrans,1,MEN,175,1.1, ,,4,Old River Road,Private Drive,,Route 175 at Old River Road,Hopland,38.97746,-123.0991,"38.97746, -123.0991",,x,,,HMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,Caltrans  ,1,MEN,1,59.3, ,,4,Simpson Lane,Old Coast Highway,,Route 1 at Simpson Lane and Old Coast Highway,Fort Bragg,39.41239,-123.8083,"39.41239, -123.8083",,x,,,HMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,02-34760,Local  ,2,SHA,5,R4.3, , ,5,Factory Outlets Drive,Deschutes Road,Locust Road,"NB Route 5 ramps at Factory Outlets Drive, Deschutes Road and Locust Road",Anderson,40.43782,-122.28602,"40.43782, -122.28602",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,Local  ,3,BUT,99,R36.3, ,,5,Eaton Avenue,Hicks Lane,Eaton Avenue,NB Route 99 Ramps at Eaton Avenue,Chico,39.775203,-121.872244,"39.775203, -121.872244",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,Caltrans,3,ED,50,70.6,89,8.5,3,N/A,N/A,,Route 50 at 89 (Luther Pass Road),Meyers,38.85124,-120.022459,"38.85124, -120.022459",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,Caltrans,3,NEV,20,R13.5, , ,4,Idaho Maryland Road,East Main Street,,WB Route 20 ramps at Idaho Maryland Road and East Main Street,Grass Valley,39.22171,-121.05378,"39.22171, -121.05378",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Constr,03-2H350,Local  ,3,NEV,80,13.1,,,,Donner Pass Road,Cold Stream Road,,"EB Route 80 Ramps at Donner Pass Road and Cold Stream Road, near Truckee",Truckee,39.32358,-120.227467,"39.32358, -120.227467",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,Local  ,3,NEV,80,81,89,0.5,4,N/A,N/A,,EB Route 80 Ramps at Route 89,Truckee,39.32243,-120.2077,"39.32243, -120.2077",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,Local  ,3,NEV,80,81,89,0.5,4,N/A,N/A,,WB Route 80 Ramps at Route 89,Truckee,39.32386,-120.2076,"39.32386, -120.2076",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,Local  ,3,NEV,89,R0.8, ,,4,Truckee Way,Henness Road,,Route 89 at Truckee Way and Henness Road,Truckee,39.34103,-120.1722,"39.34103, -120.1722",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,Local  ,3,NEV,89,R1.1, ,,4,Alder Drive,Prosser Dam Road,,Route 89 at Alder Drive and Prosser Dam Road,Truckee,39.34531,-120.173,"39.34531, -120.173",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
